question,intent,matched_pattern,answer
could you describe how to submit thesis to dspace,general,how to,"Contact the library helpdesk with the final PDF and metadata (title, abstract, keywords, department)..."
information about how to submit thesis to dspace,general,how to,"Contact the library helpdesk with the final PDF and metadata (title, abstract, keywords, department)..."
details about how to submit thesis to dspace,general,how to,"Contact the library helpdesk with the final PDF and metadata (title, abstract, keywords, department)..."
can you tell me how to check new arrivals in the library,general,how to,Check the 'New Arrivals' section on the library homepage or search OPAC (opac.iitrpr.ac.in) for rece...
i want to know how to check new arrivals in the library,general,how to,Check the 'New Arrivals' section on the library homepage or search OPAC (opac.iitrpr.ac.in) for rece...
please explain how to check new arrivals in the library,general,how to,Check the 'New Arrivals' section on the library homepage or search OPAC (opac.iitrpr.ac.in) for rece...
could you describe how to check new arrivals in the library,general,how to,Check the 'New Arrivals' section on the library homepage or search OPAC (opac.iitrpr.ac.in) for rece...
information about how to check new arrivals in the library,general,how to,Check the 'New Arrivals' section on the library homepage or search OPAC (opac.iitrpr.ac.in) for rece...
details about how to check new arrivals in the library,general,how to,Check the 'New Arrivals' section on the library homepage or search OPAC (opac.iitrpr.ac.in) for rece...
can you tell me how to search the library catalogue,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
i want to know how to search the library catalogue,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
please explain how to search the library catalogue,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
could you describe how to search the library catalogue,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
information about how to search the library catalogue,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
details about how to search the library catalogue,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
can you tell me how to access e-resources off campus,access,how to,Off-campus access to subscribed e-resources is available through the IIT Ropar VPN. Connect to the i...
i want to know how to access e-resources off campus,access,how to,Off-campus access to subscribed e-resources is available through the IIT Ropar VPN. Connect to the i...
please explain how to access e-resources off campus,access,how to,Off-campus access to subscribed e-resources is available through the IIT Ropar VPN. Connect to the i...
could you describe how to access e-resources off campus,access,how to,Off-campus access to subscribed e-resources is available through the IIT Ropar VPN. Connect to the i...
information about how to access e-resources off campus,access,how to,Off-campus access to subscribed e-resources is available through the IIT Ropar VPN. Connect to the i...
details about how to access e-resources off campus,access,how to,Off-campus access to subscribed e-resources is available through the IIT Ropar VPN. Connect to the i...
can you tell me how to use onos resources,access,how to,Access ONOS resources via the IIT Ropar library website (ONOS page) or through publisher links provi...
i want to know how to use onos resources,access,how to,Access ONOS resources via the IIT Ropar library website (ONOS page) or through publisher links provi...
please explain how to use onos resources,access,how to,Access ONOS resources via the IIT Ropar library website (ONOS page) or through publisher links provi...
could you describe how to use onos resources,access,how to,Access ONOS resources via the IIT Ropar library website (ONOS page) or through publisher links provi...
information about how to use onos resources,access,how to,Access ONOS resources via the IIT Ropar library website (ONOS page) or through publisher links provi...
details about how to use onos resources,access,how to,Access ONOS resources via the IIT Ropar library website (ONOS page) or through publisher links provi...
can you tell me how to upload thesis to dspace,general,how to,"Contact the library helpdesk with the final PDF and metadata (title, abstract, keywords, department)..."
i want to know how to upload thesis to dspace,general,how to,"Contact the library helpdesk with the final PDF and metadata (title, abstract, keywords, department)..."
please explain how to upload thesis to dspace,general,how to,"Contact the library helpdesk with the final PDF and metadata (title, abstract, keywords, department)..."
could you describe how to upload thesis to dspace,general,how to,"Contact the library helpdesk with the final PDF and metadata (title, abstract, keywords, department)..."
information about how to upload thesis to dspace,general,how to,"Contact the library helpdesk with the final PDF and metadata (title, abstract, keywords, department)..."
details about how to upload thesis to dspace,general,how to,"Contact the library helpdesk with the final PDF and metadata (title, abstract, keywords, department)..."
can you tell me how to get an article through ill,service,how to,Use the 'Request an Article' / EDD form or email the library helpdesk with citation details. The lib...
i want to know how to get an article through ill,service,how to,Use the 'Request an Article' / EDD form or email the library helpdesk with citation details. The lib...
please explain how to get an article through ill,service,how to,Use the 'Request an Article' / EDD form or email the library helpdesk with citation details. The lib...
could you describe how to get an article through ill,service,how to,Use the 'Request an Article' / EDD form or email the library helpdesk with citation details. The lib...
information about how to get an article through ill,service,how to,Use the 'Request an Article' / EDD form or email the library helpdesk with citation details. The lib...
details about how to get an article through ill,service,how to,Use the 'Request an Article' / EDD form or email the library helpdesk with citation details. The lib...
can you tell me how to contact the library,contact,how to,Contact the library via helpdesk email (libraryhelpdesk@iitrpr.ac.in) or listed phone numbers. Libra...
i want to know how to contact the library,contact,how to,Contact the library via helpdesk email (libraryhelpdesk@iitrpr.ac.in) or listed phone numbers. Libra...
please explain how to contact the library,contact,how to,Contact the library via helpdesk email (libraryhelpdesk@iitrpr.ac.in) or listed phone numbers. Libra...
could you describe how to contact the library,contact,how to,Contact the library via helpdesk email (libraryhelpdesk@iitrpr.ac.in) or listed phone numbers. Libra...
information about how to contact the library,contact,how to,Contact the library via helpdesk email (libraryhelpdesk@iitrpr.ac.in) or listed phone numbers. Libra...
details about how to contact the library,contact,how to,Contact the library via helpdesk email (libraryhelpdesk@iitrpr.ac.in) or listed phone numbers. Libra...
can you tell me how to search opac,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
i want to know how to search opac,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
please explain how to search opac,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
could you describe how to search opac,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
information about how to search opac,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
details about how to search opac,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
can you tell me how to find a book in opac,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
i want to know how to find a book in opac,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
please explain how to find a book in opac,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
could you describe how to find a book in opac,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
information about how to find a book in opac,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
details about how to find a book in opac,search,how to,"Use the OPAC at opac.iitrpr.ac.in to search by title, author, subject, ISBN, or call number. Logged-..."
how to recommend a book for purchase,acquisition,how to,You can recommend book via your OPAC login portal or by filling out indent form or by scanning QR co...
how to cancel reserved document,circulation,how to,"To cancel reserved documents, kindly utilize the KOHA WEBOPAC. Log in to your account and proceed to..."
how to borrow book using kiosk,circulation,how to,Steps to borrow books: Place your card on the scanner ->enter password-> place book/books on scanner...
how to know book is overdue,circulation,how to,"You will be intimated with e-mail notification for your overdue materials. In that case, you need to..."
how to recommend journal newspaper magazines,periodicals,how to,Please contact Dr. Tarvinder Handa subscriptions@iitrpr.ac.in
how to know suggested journal arrived,periodicals,how to,You will be informed via email as soon as books will be arrived in the library.
how to access e resources,periodicals,how to,You can access e-resources by connecting to the library wifi. The wifi password is displayed on the ...
how to search book in OPAC,technical,how to,"Enter the book title , author or keyword in the search bar and browse the results to find the book y..."
how to find book on shelf,technical,how to,Books in the library are organized using the DDC system . Each book has unique accession number and ...
how to distinguish reference and book bank books,reference,how to,Reference books are marked in green label and are kept on the first floor in the reference section a...
how to change koha login password,general_services,how to,"To change password, click on forget password on your opac login."
what is grammarly how to access,general_services,how to,Grammarly is a comprehensive AI writing assistant designed to enhance writing quality and correctnes...
how to book techno booths,digital_learning,how to,To book techno booth visit https://www.iitrpr.ac.in/library/
how to use subject guide,subject_guide,how to,"For complete details on the use subject guide, please click here: https://www.iitrpr.ac.in/library/S..."
library id card process,general,id card,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
institute smart id card,general,id card,The Institute-cum-Library Smart ID Card serves as both institute and library ID. It uses RFID techno...
can you tell me library id card process,general,id card,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
i want to know library id card process,general,id card,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
please explain library id card process,general,id card,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
could you describe library id card process,general,id card,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
information about library id card process,general,id card,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
details about library id card process,general,id card,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
can you tell me institute smart id card,general,id card,The Institute-cum-Library Smart ID Card serves as both institute and library ID. It uses RFID techno...
i want to know institute smart id card,general,id card,The Institute-cum-Library Smart ID Card serves as both institute and library ID. It uses RFID techno...
please explain institute smart id card,general,id card,The Institute-cum-Library Smart ID Card serves as both institute and library ID. It uses RFID techno...
could you describe institute smart id card,general,id card,The Institute-cum-Library Smart ID Card serves as both institute and library ID. It uses RFID techno...
information about institute smart id card,general,id card,The Institute-cum-Library Smart ID Card serves as both institute and library ID. It uses RFID techno...
details about institute smart id card,general,id card,The Institute-cum-Library Smart ID Card serves as both institute and library ID. It uses RFID techno...
is it ID card or library card,membership,id card,This smart card serves dual purpose; it is going to be your Institute Identity Card as well as a Lib...
library rules,policy,library rule,"Library Code of Conduct: maintain silence, avoid food/drinks, handle books carefully, use Smart ID f..."
what are the major library rules at iit ropar,rules,library rule,"Major rules include maintaining silence, keeping mobile phones on silent, no food or drinks inside, ..."
library rules iit ropar,rules,library rule,"Major rules include maintaining silence, keeping mobile phones on silent, no food or drinks inside, ..."
can you tell me library rules,policy,library rule,"Library Code of Conduct: maintain silence, avoid food/drinks, handle books carefully, use Smart ID f..."
i want to know library rules,policy,library rule,"Library Code of Conduct: maintain silence, avoid food/drinks, handle books carefully, use Smart ID f..."
please explain library rules,policy,library rule,"Library Code of Conduct: maintain silence, avoid food/drinks, handle books carefully, use Smart ID f..."
could you describe library rules,policy,library rule,"Library Code of Conduct: maintain silence, avoid food/drinks, handle books carefully, use Smart ID f..."
information about library rules,policy,library rule,"Library Code of Conduct: maintain silence, avoid food/drinks, handle books carefully, use Smart ID f..."
details about library rules,policy,library rule,"Library Code of Conduct: maintain silence, avoid food/drinks, handle books carefully, use Smart ID f..."
can you tell me what are the major library rules at iit ropar,rules,library rule,"Major rules include maintaining silence, keeping mobile phones on silent, no food or drinks inside, ..."
i want to know what are the major library rules at iit ropar,rules,library rule,"Major rules include maintaining silence, keeping mobile phones on silent, no food or drinks inside, ..."
please explain what are the major library rules at iit ropar,rules,library rule,"Major rules include maintaining silence, keeping mobile phones on silent, no food or drinks inside, ..."
could you describe what are the major library rules at iit ropar,rules,library rule,"Major rules include maintaining silence, keeping mobile phones on silent, no food or drinks inside, ..."
information about what are the major library rules at iit ropar,rules,library rule,"Major rules include maintaining silence, keeping mobile phones on silent, no food or drinks inside, ..."
details about what are the major library rules at iit ropar,rules,library rule,"Major rules include maintaining silence, keeping mobile phones on silent, no food or drinks inside, ..."
can you tell me library rules iit ropar,rules,library rule,"Major rules include maintaining silence, keeping mobile phones on silent, no food or drinks inside, ..."
i want to know library rules iit ropar,rules,library rule,"Major rules include maintaining silence, keeping mobile phones on silent, no food or drinks inside, ..."
please explain library rules iit ropar,rules,library rule,"Major rules include maintaining silence, keeping mobile phones on silent, no food or drinks inside, ..."
could you describe library rules iit ropar,rules,library rule,"Major rules include maintaining silence, keeping mobile phones on silent, no food or drinks inside, ..."
information about library rules iit ropar,rules,library rule,"Major rules include maintaining silence, keeping mobile phones on silent, no food or drinks inside, ..."
details about library rules iit ropar,rules,library rule,"Major rules include maintaining silence, keeping mobile phones on silent, no food or drinks inside, ..."
library services,service,library service,"Nalanda Library at IIT Ropar provides a wide range of facilities and services:

 **Resources:** 25,0..."
library services list,service,library service,"Key services: circulation (issue/return), OPAC search, reference & information service, e-resource a..."
list all library services,service,library service,"Key services: circulation (issue/return), OPAC search, reference & information service, e-resource a..."
can you tell me library services,service,library service,"Nalanda Library at IIT Ropar provides a wide range of facilities and services:

 **Resources:** 25,0..."
i want to know library services,service,library service,"Nalanda Library at IIT Ropar provides a wide range of facilities and services:

 **Resources:** 25,0..."
please explain library services,service,library service,"Nalanda Library at IIT Ropar provides a wide range of facilities and services:

 **Resources:** 25,0..."
could you describe library services,service,library service,"Nalanda Library at IIT Ropar provides a wide range of facilities and services:

 **Resources:** 25,0..."
information about library services,service,library service,"Nalanda Library at IIT Ropar provides a wide range of facilities and services:

 **Resources:** 25,0..."
details about library services,service,library service,"Nalanda Library at IIT Ropar provides a wide range of facilities and services:

 **Resources:** 25,0..."
can you tell me library services list,service,library service,"Key services: circulation (issue/return), OPAC search, reference & information service, e-resource a..."
i want to know library services list,service,library service,"Key services: circulation (issue/return), OPAC search, reference & information service, e-resource a..."
please explain library services list,service,library service,"Key services: circulation (issue/return), OPAC search, reference & information service, e-resource a..."
could you describe library services list,service,library service,"Key services: circulation (issue/return), OPAC search, reference & information service, e-resource a..."
information about library services list,service,library service,"Key services: circulation (issue/return), OPAC search, reference & information service, e-resource a..."
details about library services list,service,library service,"Key services: circulation (issue/return), OPAC search, reference & information service, e-resource a..."
can you tell me list all library services,service,library service,"Key services: circulation (issue/return), OPAC search, reference & information service, e-resource a..."
i want to know list all library services,service,library service,"Key services: circulation (issue/return), OPAC search, reference & information service, e-resource a..."
please explain list all library services,service,library service,"Key services: circulation (issue/return), OPAC search, reference & information service, e-resource a..."
could you describe list all library services,service,library service,"Key services: circulation (issue/return), OPAC search, reference & information service, e-resource a..."
information about list all library services,service,library service,"Key services: circulation (issue/return), OPAC search, reference & information service, e-resource a..."
details about list all library services,service,library service,"Key services: circulation (issue/return), OPAC search, reference & information service, e-resource a..."
where to give suggestion for library services,general_services,library service,You can give suggestion or review for library services in the suggestion register or drop them in th...
library service suggestions,general_services,library service,You can give suggestion or review for library services in the suggestion register or drop them in th...
do I have to make entry for issued book in register,circulation,make entry,"Yes, please ensure to make entry for issued book in register every time you bring the books to the l..."
do I have to make entry of books and laptop,general_services,make entry,"Proper entry of laptops, personal books should be made in the Entry/Exit Portal."
how to get library membership,membership,membership,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
membership rules,membership,membership,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
library membership form,membership,membership,Library membership registration is done online through OPAC. Upload your photo and fill the form. Yo...
external membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
membership for alumni,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
industry membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
government membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
membership for iit ropar students,membership,membership,"All registered students, faculty, and staff of IIT Ropar are automatic members of Nalanda Library an..."
membership for outsiders,membership,membership,"Nalanda Library offers external membership to Academic Institutions, Research Organizations, Governm..."
library membership,membership,membership,"All registered IIT Ropar students, faculty, and staff are automatic members of Nalanda Library. Exte..."
can you tell me how to get library membership,membership,membership,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
i want to know how to get library membership,membership,membership,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
please explain how to get library membership,membership,membership,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
could you describe how to get library membership,membership,membership,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
information about how to get library membership,membership,membership,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
details about how to get library membership,membership,membership,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
can you tell me membership rules,membership,membership,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
i want to know membership rules,membership,membership,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
please explain membership rules,membership,membership,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
could you describe membership rules,membership,membership,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
information about membership rules,membership,membership,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
details about membership rules,membership,membership,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
can you tell me library membership form,membership,membership,Library membership registration is done online through OPAC. Upload your photo and fill the form. Yo...
i want to know library membership form,membership,membership,Library membership registration is done online through OPAC. Upload your photo and fill the form. Yo...
please explain library membership form,membership,membership,Library membership registration is done online through OPAC. Upload your photo and fill the form. Yo...
could you describe library membership form,membership,membership,Library membership registration is done online through OPAC. Upload your photo and fill the form. Yo...
information about library membership form,membership,membership,Library membership registration is done online through OPAC. Upload your photo and fill the form. Yo...
details about library membership form,membership,membership,Library membership registration is done online through OPAC. Upload your photo and fill the form. Yo...
can you tell me external membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
i want to know external membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
please explain external membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
could you describe external membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
information about external membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
details about external membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
can you tell me membership for alumni,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
i want to know membership for alumni,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
please explain membership for alumni,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
could you describe membership for alumni,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
information about membership for alumni,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
details about membership for alumni,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
can you tell me industry membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
i want to know industry membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
please explain industry membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
could you describe industry membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
information about industry membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
details about industry membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
can you tell me government membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
i want to know government membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
please explain government membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
could you describe government membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
information about government membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
details about government membership,membership,membership,"External membership is available for academic institutions, government departments, industries, corp..."
can you tell me membership for iit ropar students,membership,membership,"All registered students, faculty, and staff of IIT Ropar are automatic members of Nalanda Library an..."
i want to know membership for iit ropar students,membership,membership,"All registered students, faculty, and staff of IIT Ropar are automatic members of Nalanda Library an..."
please explain membership for iit ropar students,membership,membership,"All registered students, faculty, and staff of IIT Ropar are automatic members of Nalanda Library an..."
could you describe membership for iit ropar students,membership,membership,"All registered students, faculty, and staff of IIT Ropar are automatic members of Nalanda Library an..."
information about membership for iit ropar students,membership,membership,"All registered students, faculty, and staff of IIT Ropar are automatic members of Nalanda Library an..."
details about membership for iit ropar students,membership,membership,"All registered students, faculty, and staff of IIT Ropar are automatic members of Nalanda Library an..."
can you tell me membership for outsiders,membership,membership,"Nalanda Library offers external membership to Academic Institutions, Research Organizations, Governm..."
i want to know membership for outsiders,membership,membership,"Nalanda Library offers external membership to Academic Institutions, Research Organizations, Governm..."
please explain membership for outsiders,membership,membership,"Nalanda Library offers external membership to Academic Institutions, Research Organizations, Governm..."
could you describe membership for outsiders,membership,membership,"Nalanda Library offers external membership to Academic Institutions, Research Organizations, Governm..."
information about membership for outsiders,membership,membership,"Nalanda Library offers external membership to Academic Institutions, Research Organizations, Governm..."
details about membership for outsiders,membership,membership,"Nalanda Library offers external membership to Academic Institutions, Research Organizations, Governm..."
can you tell me library membership,membership,membership,"All registered IIT Ropar students, faculty, and staff are automatic members of Nalanda Library. Exte..."
i want to know library membership,membership,membership,"All registered IIT Ropar students, faculty, and staff are automatic members of Nalanda Library. Exte..."
please explain library membership,membership,membership,"All registered IIT Ropar students, faculty, and staff are automatic members of Nalanda Library. Exte..."
could you describe library membership,membership,membership,"All registered IIT Ropar students, faculty, and staff are automatic members of Nalanda Library. Exte..."
information about library membership,membership,membership,"All registered IIT Ropar students, faculty, and staff are automatic members of Nalanda Library. Exte..."
details about library membership,membership,membership,"All registered IIT Ropar students, faculty, and staff are automatic members of Nalanda Library. Exte..."
how will I get library membership,membership,membership,The library membership form is available at the circulation counter. Please submit the filled form a...
library membership process,membership,membership,The library membership form is available at the circulation counter. Please submit the filled form a...
can outsider get library membership,membership,membership,"Yes, before taking the membership please drop an email regarding your deatils and reasons for availi..."
external library membership,membership,membership,"Yes, before taking the membership please drop an email regarding your deatils and reasons for availi..."
can I bring own books and laptop,general_services,own books,"You are allowed to bring your personal books, other reading materials, and laptops inside the librar..."
book register entry,circulation,register entry,"Yes, please ensure to make entry for issued book in register every time you bring the books to the l..."
why should i use the library,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
when should i return books,borrowing,should i,Return books before the due date to avoid fines. Check your account in OPAC for due dates. You can r...
whom should i contact for help,contact,should i,"Librarian: Dr. Dinesh K.S (librarian@iitrpr.ac.in, 01881-235179). Helpdesk: libraryhelpdesk@iitrpr.a..."
what should i know about tell me about the library,general,should i,"Nalanda library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
what should i know about library timing,general,should i,Library working hours: Weekdays (Mon-Fri) 9:00 AM - 8:00 PM. Reading area may offer extended or 24/7...
what should i know about fine policy,rules,should i,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
what should i know about e-resources,resources,should i,"🔢 E-Resources Available:

1. Databases:
- Scopus
- Web of Science
- MathSciNet
- IEEE Xplore

2. E-J..."
what should i know about online journals,resources,should i,"📚 **How to Access Online Journals:**

**On Campus:**
✅ Direct access to all subscribed e-journals an..."
what should i know about how to access online journals,resources,should i,"📚 **How to Access Online Journals:**

**On Campus:**
✅ Direct access to all subscribed e-journals an..."
what should i know about access e-journals,resources,should i,"📚 **How to Access E-Journals:**

**On Campus:**
✅ Direct access to all subscribed e-journals
✅ No VP..."
what should i know about e-journals,resources,should i,"📚 **E-Journals Available:**

**Major Publishers:**
• Science Direct (Elsevier)
• SpringerLink (Sprin..."
what should i know about digital journals,resources,should i,"📚 **Digital Journals (E-Journals) Access:**

**On Campus:** Direct access ✅
**Off Campus:** VPN requ..."
what should i know about journal access,resources,should i,"📚 **Journal Access Guide:**

**E-Journals:** Available through library website
**Physical Journals:*..."
what should i know about how to issue book,borrowing,should i,Issue books with your institute ID at the library counter or self-service kiosks. Ensure no outstand...
what should i know about technobooth,facility,should i,Technobooth (Digital Learning Hub) in Nalanda Library provides rooms equipped with interactive touch...
what should i know about reading room facilities,general,should i,"Reading Room Facilities:

1. Areas Available:
- Individual study carrels
- Group discussion rooms
- ..."
what should i know about nalanda library,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
what should i know about give details of iit ropar library,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
what should i know about information about library,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
what should i know about describe the library,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
what should i know about library overview,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
what should i know about library introduction,general,should i,"Nalanda Library (IIT Ropar) provides access to 25,000+ print books and extensive e-resources (Scopus..."
what should i know about library introduction for new students,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
can you tell me why should i use the library,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
i want to know why should i use the library,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
please explain why should i use the library,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
could you describe why should i use the library,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
information about why should i use the library,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
details about why should i use the library,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
what should i know about why should i use the library,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
what should i know about what can i do in the library,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
what should i know about special about nalanda library,general,should i,"Nalanda Library at IIT Ropar is the central hub for academic resources. It has 25,000+ books, thousa..."
what should i know about what are library timings,general,should i,The library is open all year. Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is ope...
what should i know about when is library open,general,should i,The library is open all year. Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is ope...
what should i know about library opening hours,general,should i,The library is open all year. Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is ope...
what should i know about library hours today,general,should i,The library is open all year. Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is ope...
what should i know about what time does library open,general,should i,The library is open all year. Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is ope...
what should i know about what time does library close,general,should i,The library is open all year. Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is ope...
what should i know about library timing on weekends,general,should i,The library is open all year including weekends. Ground Floor (Stack & Reading Area 2) is open 24/7....
what should i know about library timing on holidays,general,should i,The library is open all year including holidays. Ground Floor (Stack & Reading Area 2) is open 24/7....
what should i know about can i visit library at night,general,should i,Yes! The library Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is open from 6 AM t...
what should i know about library midnight access,access,should i,"Yes, library Ground Floor is open 24/7 including midnight. First Floor is open till 2 AM. You can st..."
what should i know about library schedule,general,should i,The library is open all year. Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is ope...
what should i know about library working hours,general,should i,The library is open all year. Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is ope...
what should i know about is library open 24/7,general,should i,The library is open all year. Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is ope...
what should i know about time of library,general,should i,The library is open all year. Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is ope...
what should i know about is the library open now,general,should i,The library is open all year. Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is ope...
what should i know about when can i visit the library,general,should i,The library is open all year. Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is ope...
what should i know about is library 24/7,general,should i,The library is open all year. Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is ope...
what should i know about what are the opening and closing hours,general,should i,The library is open all year. Ground Floor (Stack & Reading Area 2) is open 24/7. First Floor is ope...
what should i know about how to get library membership,membership,should i,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
what should i know about library registration process,general,should i,"All IIT Ropar students, staff, and faculty are entitled to membership. Registration is via an online..."
